roe,roc,dkr,eps,netinc,sal,return
18.7,17.4,4,48.1,1144,1090,-20.84211
1.6,2.4,27.3,-85.3,35,1923,-9.138381
4.9,4.6,36.8,-44.1,127,1012,86.21795
11.1,8.6,46.4,192.4,367,579,131.8367
5.6,4.5,36.2,-60.4,214,600,-8.189655
3.5,2.9,18.7,-79.8,118,735,-26.00733
12.3,8.5,34.4,39,175,994,52.27273
7.5,6.3,57.8,-62.8,1692,1227,-36.10315
15.6,10.5,33.4,-16.2,157,913,3.508772
12.5,9.4,33.4,-19.1,315,733,28.61953
17.4,16.4,16.7,12.8,407,1247,-21.62162
9.7,8.9,18.3,-34.8,165,925,6.574394
12.7,11.8,27.6,-8.6,288,602,100.6061
15,12.7,27.3,9.5,147,1006,-5.21327
16.7,12.7,35,19.3,177,593,-27.6
57,43.3,12.3,59.5,1845,3142,-33.33333
25.7,11.9,53.9,12.8,1013,1893,-43.35938
22.9,12,33.2,9,829,1740,32.14286
18.9,13.5,19.9,5,475,1558,-6.603774
15.8,10,31.4,2.7,230,1095,-7.03125
14.4,12.2,14.5,2.6,335,1235,2.564103
22.3,20.3,0,16,63,569,3.361345
19,14.8,32.9,-42.6,1537,930,-5.779335
25.5,15.5,36.1,9.1,228,940,-65
27.1,23.6,6.6,20.6,174,926,-9.666667
14.6,10.7,20.4,-3.4,191,756,64.38849
20.5,12.7,41.8,13.4,4237,2969,-20.93023
13.7,10.2,40.2,43.5,1131,3836,50.53078
17.8,15.7,10.9,13.9,66,477,5.109489
10.7,7.5,69.9,4.3,282,2600,104.5685
11.2,6.7,68.1,-54.4,151,1182,-27.22513
18,13,25.7,8.6,229,930,-35.07194
34.7,28.7,4.2,15.7,939,1165,-52.02206
11.5,9.4,26.7,28.8,24,357,-58.97436
61.1,33.5,34.1,13.8,1207,1704,-41.62791
17.5,14.1,18.2,15.7,127,1336,-47.88462
11,9.4,10.7,-42.1,217,1345,-20.12987
17.8,16.6,3.8,-1.8,290,578,63.48315
13.7,11.8,15.2,5.8,522,932,-0.6423983
14.2,13.9,1.5,14.2,64,518,-12.10191
19.9,18.7,12.7,4.6,613,1769,59.9359
14.3,11.8,15.5,4.2,474,1942,-10.81081
1.6,2.9,28.9,5,27,1416,-24.9467
32.9,32.1,0,7.9,113,729,-7.925408
10.9,7.2,22.9,-30.5,147,1081,-46.75325
19.5,12.5,40.1,20.8,138,1123,-18.7056
12.6,8.3,33.3,-5.7,112,1048,-17.57576
21.1,19.4,2.8,11.9,156,773,43.54166
14.7,11.6,26.5,0.8,114,763,-8.333333
14.6,11.8,13.8,6.6,204,1191,-37.31343
23.4,14.5,51.3,-2.5,208,727,6.918239
4.7,4.7,46.6,-65.1,317,947,16.10942
37.2,32.5,17.9,266.6,1383,3667,9.405941
26.7,20.8,24.5,17.6,824,11338,-58.92857
15.8,12.8,19,-61.6,211,1017,4.651163
15.5,11.4,28.7,-26.3,415,1434,-8.709826
16.2,13,21.7,17.9,290,918,-30.52326
19,14.5,18,6.7,76,780,-36.57143
20.3,15.4,29.3,11.9,178,842,-2.506964
22.1,20.2,3.6,6.9,1305,1275,-33.0091
22.6,19.5,15.4,29.8,103,1064,-5.084746
21.8,19.4,5.5,17.2,130,725,-21.76871
23.4,12.7,35.5,-17.5,1525,2262,-8.641975
4.1,4.1,23.8,-49.9,1349,1359,-34.05904
12.6,8.5,13.5,3,3940,1550,21.5
10.1,7.9,16.3,-7.7,1724,1872,34.42361
1.1,1.4,22.3,-89.3,8,488,-29.66361
14.4,10.8,25.6,-49.9,1349,1938,1.698514
14.6,7.9,51.3,-21.1,337,1186,-8.403361
12.4,6.9,44.9,27.4,249,1300,-15.13158
11.3,8.2,44.3,18.1,540,1338,-9.6
10.9,9.5,26.3,-31.2,115,4206,14.95327
25.4,25.1,1,19.9,122,832,3.125
16.8,14.3,17.8,16.7,474,1147,-18.76641
7.2,7,12,-16.4,395,1278,6.932773
18.5,13.8,23.7,-8.9,879,1249,-30.08048
19.1,14.8,35.1,-10.9,361,2146,-8.704062
14.3,11.6,14.6,-11.2,265,574,34.62783
28.8,18.4,33.7,19.3,233,1814,-37.44395
32,25.7,0,6.8,475,2193,10.6383
20.8,17.9,6.5,13.9,216,778,19.38775
30.5,26.5,4,11.1,399,2332,-50.31446
13.4,12.3,2.1,-13.1,739,1366,111.3757
10.8,8.5,20.1,-22.9,4150,2011,-21.91235
39.5,42.9,0,60.9,317,1162,-29.74138
31.2,27,14.9,81.3,76,267,-44.75806
2.2,5.3,45.9,-62.4,220,1190,72.92577
8.8,8.2,8.1,90.2,186,1101,-22.51462
17.9,17,9.1,23.9,517,1494,2.544529
17.2,11.6,61.9,-22.4,460,1500,47.42268
14.4,9.8,27.4,-11.7,743,1444,33.40708
9.3,6.9,36.1,-29.3,157,549,32.31292
4.8,4.4,50.6,-68.7,206,647,35.7466
18.7,12.9,32.7,-5.8,169,552,-13.63636
18.5,16.7,18.3,17.4,147,806,40.17857
47.6,22.9,50.9,10.6,341,783,52.4173
20.2,15.1,20.2,12.6,1593,1439,-11.74377
8.4,6.9,0,-68,21,740,-44.82143
15.3,11.8,30.6,15.6,502,1033,-84.8881
12,10.3,21.1,16.2,327,1356,-70.2957
8.8,6,29.8,-61.3,123,537,-6.766917
19.4,14,27.4,-0.4,387,1300,22.41379
2.6,3.1,35.4,-88.2,23,1030,17.84141
35.9,33.5,1.8,20.2,185,1188,22.04969
19.8,16.7,11.9,4.5,184,424,6.476399
24.1,9.2,46.3,88.5,265,1283,52.77778
3.7,3,32.2,-50.1,90,799,5.483029
23.8,19.6,13.9,17.4,220,694,-47.74775
19.1,18.1,8.9,10.3,152,598,-20.96154
27.5,20,44.8,45.4,152,1587,25.59727
30.3,21.7,32.2,20.1,379,1836,-48.02868
19.5,19.2,2.1,6.7,388,1212,-30.81232
13.8,10.4,34.9,-22.5,101,300,12.75168
15.6,10.4,28.8,-11.7,738,997,-38.65979
21.2,16.9,12.2,13.2,175,917,-6.684492
15.6,12.1,25,3.2,226,767,-42.43903
8.1,5.7,46.2,-15.1,128,581,31.69399
21.1,19.8,4.1,5.2,205,565,14.28571
17,15.8,0.2,10.9,125,722,-10.46512
32.8,30.2,2.4,10.4,76,439,-4.635762
5.8,8.1,79.5,24.3,130,780,7.97546
23.7,15.3,31.8,20.9,667,1571,-67.5
11.9,8.9,6,-30.4,70,526,-8.091287
16.8,11.2,38.3,11.6,185,752,-22.50804
15.7,9.2,27.9,7.5,1299,1296,-40.625
12.1,7.1,34.1,-13.8,1134,1289,-55.2809
25.4,12.4,47.7,19.4,280,1264,2.51938
14,8.4,30,2.1,1156,960,-43.42432
12.8,8,27.5,2.5,1131,1380,-36.79061
31.4,29.9,2.2,27.5,191,1222,-52.10356
39.1,37.3,2.8,42.3,267,545,19.4
20.2,18.6,10.5,16.3,172,14336,107.8947
2.1,3.6,37.2,-87,4,889,52.54902
21,16.7,18.8,19.7,65,653,-27.02703
25.3,17.4,32.4,26.1,757,1630,-47.1831
14.9,7.6,39.8,16.6,365,334,-55.68513
12.6,6.7,47.3,-15.9,187,447,-23.03665
12.5,7.3,40.4,-3.5,524,732,-9.40171
13.7,8.7,42.5,-5.7,214,506,-62.85714
9.1,6.9,47.4,-30.1,621,884,-31.33047
13.7,9.5,37.9,12.6,187,334,-19.14063
37,15.7,53.9,45.1,3523,1316,38.13814
